                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0492,                0.80104,                 1.1419,                0.83844,                0.76888,                0.80079,                0.47393,                 1.4638,                0.93717,                 1.5315,               0.004852,               0.004852,               0.004852
                     54,                 1.0289,                 0.8039,                 1.1316,                0.88568,                0.79012,                0.82287,                0.51907,                 1.4163,                0.92114,                 1.4864,               0.004753,               0.004753,               0.004753
                     55,                 1.0223,                0.78858,                  1.136,                0.82573,                0.80247,                0.80787,                 0.4951,                 1.4369,                0.90845,                  1.546,               0.004654,               0.004654,               0.004654
                     56,                 1.0045,                0.77331,                 1.1177,                0.89027,                0.80129,                0.85211,                0.51812,                 1.4471,                0.92941,                 1.4903,               0.004555,               0.004555,               0.004555
                     57,                 1.0314,                0.78563,                 1.1463,                0.91061,                0.79012,                0.83334,                 0.5291,                 1.4277,                0.89366,                 1.5134,               0.004456,               0.004456,               0.004456
                     58,                 1.0067,                0.77183,                 1.1071,                0.87527,                0.81481,                 0.8144,                0.50907,                 1.3848,                0.93057,                 1.4977,               0.004357,               0.004357,               0.004357
                     59,                0.98085,                0.78962,                 1.0925,                0.95444,                  0.776,                0.86446,                0.52138,                 1.3761,                0.82778,                 1.5051,               0.004258,               0.004258,               0.004258
                     60,                0.95488,                0.75978,                  1.102,                 0.8752,                0.80247,                0.86154,                0.49195,                 1.4795,                  0.878,                 1.5738,               0.004159,               0.004159,               0.004159
                     61,                0.99964,                0.79249,                 1.1226,                 0.8863,                0.80247,                0.84713,                0.51022,                 1.4647,                0.89008,                 1.5375,                0.00406,                0.00406,                0.00406
                     62,                0.96876,                0.77035,                 1.1166,                0.84534,                0.85185,                0.87833,                0.51446,                 1.4857,                0.90962,                  1.553,               0.003961,               0.003961,               0.003961
                     63,                0.94663,                0.74274,                 1.0863,                0.80971,                0.89309,                0.87487,                0.51371,                 1.4057,                0.87073,                 1.4982,               0.003862,               0.003862,               0.003862
                     64,                 0.9509,                0.77076,                 1.1015,                 0.9373,                0.81481,                0.85928,                0.49239,                 1.5269,                0.91888,                  1.548,               0.003763,               0.003763,               0.003763
                     65,                0.94822,                0.72671,                 1.0999,                0.91532,                0.82716,                0.85989,                0.52104,                 1.4056,                 0.8239,                 1.5086,               0.003664,               0.003664,               0.003664
                     66,                0.94531,                0.68392,                 1.0987,                0.94429,                0.85185,                0.87577,                0.51594,                 1.4588,                0.87433,                 1.5335,               0.003565,               0.003565,               0.003565
                     67,                  0.955,                0.72729,                 1.1068,                0.94331,                0.82169,                0.86122,                0.50109,                 1.4566,                0.85458,                 1.4925,               0.003466,               0.003466,               0.003466
                     68,                0.93649,                0.70457,                 1.0865,                0.89425,                 0.8352,                0.85008,                0.49219,                 1.4372,                0.83282,                 1.5365,               0.003367,               0.003367,               0.003367
                     69,                0.93492,                0.70507,                 1.1049,                0.94219,                 0.8642,                0.90178,                0.52624,                 1.4349,                0.79776,                 1.5143,               0.003268,               0.003268,               0.003268
                     70,                0.88764,                0.67354,                 1.0507,                0.91769,                0.81481,                0.85819,                0.50332,                 1.4511,                0.83161,                 1.5388,               0.003169,               0.003169,               0.003169
                     71,                0.93174,                0.70305,                 1.0947,                 0.8947,                 0.8642,                0.86482,                0.51957,                 1.4538,                0.90564,                 1.5216,                0.00307,                0.00307,                0.00307
                     72,                0.86534,                0.74624,                 1.0497,                0.91808,                0.83951,                0.86996,                0.52266,                 1.4303,                0.94533,                 1.4891,               0.002971,               0.002971,               0.002971
                     73,                0.93016,                0.69883,                  1.099,                0.90163,                0.85185,                0.87307,                0.49769,                 1.5052,                0.89615,                 1.5565,               0.002872,               0.002872,               0.002872
                     74,                0.89193,                0.70022,                 1.0617,                 0.9054,                 0.8642,                0.88235,                0.49796,                 1.4786,                0.84555,                 1.5462,               0.002773,               0.002773,               0.002773
                     75,                0.86838,                 0.6494,                 1.0682,                0.90618,                0.83477,                0.86597,                0.51063,                 1.4172,                0.82732,                 1.5076,               0.002674,               0.002674,               0.002674
                     76,                 0.8617,                0.64448,                 1.0483,                0.89648,                0.85532,                0.87726,                0.52873,                 1.3988,                0.78196,                 1.4792,               0.002575,               0.002575,               0.002575
                     77,                0.87503,                0.66672,                 1.0555,                0.91456,                0.85185,                0.87533,                0.55189,                 1.4024,                0.79091,                 1.4706,               0.002476,               0.002476,               0.002476
                     78,                0.84103,                0.66422,                 1.0451,                0.89635,                0.85413,                 0.8734,                0.54099,                 1.3881,                 0.7923,                 1.4911,               0.002377,               0.002377,               0.002377
                     79,                 0.8437,                0.63912,                 1.0526,                0.90529,                0.85185,                0.88929,                0.54236,                 1.3627,                0.76889,                 1.4595,               0.002278,               0.002278,               0.002278
                     80,                0.84232,                0.63475,                 1.0375,                0.87505,                0.86461,                0.88561,                0.56456,                 1.3551,                0.78737,                 1.4497,               0.002179,               0.002179,               0.002179
                     81,                 0.8378,                0.63378,                 1.0413,                0.90923,                0.87654,                0.87885,                0.53761,                 1.3918,                0.81612,                 1.4883,                0.00208,                0.00208,                0.00208
                     82,                0.84289,                0.64855,                 1.0335,                0.92918,                0.85185,                0.87369,                0.55217,                 1.4042,                0.84352,                 1.4693,               0.001981,               0.001981,               0.001981
                     83,                 0.8123,                0.62317,                 1.0287,                 0.8712,                0.83951,                0.85615,                0.53087,                 1.3441,                0.82827,                 1.4463,               0.001882,               0.001882,               0.001882
                     84,                0.79961,                0.60857,                 1.0144,                 0.9061,                0.83394,                0.86713,                0.53327,                 1.3248,                0.81236,                 1.4417,               0.001783,               0.001783,               0.001783
                     85,                0.82408,                0.63902,                 1.0357,                0.93923,                0.83951,                0.88334,                0.54799,                 1.3484,                0.78007,                  1.451,               0.001684,               0.001684,               0.001684
                     86,                0.82957,                0.63052,                 1.0817,                0.91529,                 0.8642,                0.88142,                0.55845,                 1.3377,                 0.7617,                 1.4454,               0.001585,               0.001585,               0.001585
                     87,                0.81566,                0.60716,                 1.0235,                0.93075,                 0.8642,                 0.8755,                0.55854,                 1.3437,                0.79482,                 1.4352,               0.001486,               0.001486,               0.001486
                     88,                0.78454,                0.58599,                 1.0141,                0.94612,                0.87654,                0.89246,                 0.5552,                 1.3563,                0.78125,                 1.4134,               0.001387,               0.001387,               0.001387
                     89,                0.79266,                0.59163,                  1.023,                0.91725,                 0.8211,                0.86735,                0.54488,                 1.3755,                0.82455,                 1.4809,               0.001288,               0.001288,               0.001288
                     90,                0.77945,                0.63379,                 1.0088,                0.89557,                0.84707,                0.88744,                0.55295,                 1.3476,                0.76335,                 1.4259,               0.001189,               0.001189,               0.001189
                     91,                0.76867,                 0.5731,                 1.0135,                0.95366,                0.81481,                0.88145,                0.56626,                 1.3594,                0.75203,                  1.423,                0.00109,                0.00109,                0.00109
                     92,                0.76039,                 0.5664,                 1.0014,                0.97095,                0.83951,                0.89988,                0.56336,                 1.3288,                0.77023,                 1.4131,               0.000991,               0.000991,               0.000991
                     93,                0.78147,                0.57828,                 1.0117,                  0.909,                 0.8642,                0.88708,                0.56182,                 1.3362,                0.76914,                 1.4105,               0.000892,               0.000892,               0.000892
                     94,                0.73842,                0.54913,                0.98743,                0.94245,                0.85185,                0.90025,                0.57651,                 1.3166,                 0.7508,                 1.3793,               0.000793,               0.000793,               0.000793
                     95,                0.78081,                0.57086,                 1.0128,                0.95557,                0.83951,                0.89457,                0.55351,                 1.2859,                0.73183,                  1.368,               0.000694,               0.000694,               0.000694
                     96,                0.74544,                0.56036,                0.99492,                0.94655,                0.82716,                0.88893,                0.57592,                 1.3175,                0.73765,                 1.4101,               0.000595,               0.000595,               0.000595
                     97,                0.74142,                0.55511,                  1.004,                0.92016,                0.85368,                0.88144,                0.56433,                 1.3344,                0.77853,                 1.4163,               0.000496,               0.000496,               0.000496
                     98,                0.72514,                 0.5509,                0.99391,                0.95924,                0.87172,                0.89641,                0.56345,                 1.3379,                0.75936,                 1.4171,               0.000397,               0.000397,               0.000397
                     99,                0.73735,                0.55578,                 1.0073,                0.92025,                0.85481,                0.88704,                0.57197,                 1.3333,                0.74675,                 1.4177,               0.000298,               0.000298,               0.000298
